EmployeeID,Name,Department,Position,Salary,DateOfJoining,Experience,Email,PhoneNumber
1001,Alice,HR,Manager,60000.0,2010-01-31,5,alice@example.com,1234567890
1002,Bob,Finance,Analyst,55000.0,2010-02-28,3,bob@example.com,2345678901
1003,Charlie,IT,Developer,70000.0,2010-03-31,8,charlie@example.com,3456789012
1004,David,Marketing,Executive,50000.0,2010-04-30,2,david@example.com,4567890123
1005,Eva,Sales,Representative,45000.0,2010-05-31,1,eva@example.com,5678901234
1006,Frank,HR,Assistant,,2010-06-30,4,frank@example.com,6789012345
1007,Grace,Finance,Consultant,58000.0,2010-07-31,7,grace@example.com,7890123456
1008,Hannah,IT,Lead,75000.0,2010-08-31,9,hannah@example.com,8901234567
1009,Ivan,Marketing,Coordinator,49000.0,2010-09-30,2,ivan@example.com,9012345678
1010,Judy,Sales,Specialist,47000.0,2010-10-31,1,judy@example.com,0123456789
1011,Alice,HR,Manager,60000.0,2010-11-30,5,alice@example.com,1234567890
1012,Bob,Finance,Analyst,55000.0,2010-12-31,3,bob@example.com,2345678901
1013,Charlie,IT,Developer,70000.0,2011-01-31,8,charlie@example.com,3456789012
1014,David,Marketing,Executive,50000.0,2011-02-28,2,david@example.com,4567890123
1015,Eva,Sales,Representative,45000.0,2011-03-31,1,eva@example.com,5678901234
1016,Frank,HR,Assistant,52000.0,2011-04-30,4,charlie@com,6789012345
1017,Grace,Finance,Consultant,58000.0,2011-05-31,7,grace@example.com,7890123456
1018,Hannah,IT,Lead,75000.0,2011-06-30,9,hannah@example.com,8901234567
1019,Ivan,Marketing,Coordinator,49000.0,2011-07-31,2,ivan@example.com,9012345678
1020,Judy,Sales,Specialist,47000.0,2011-08-31,1,judy@example.com,0123456789
1021,Alice,HR,Manager,60000.0,2011-09-30,5,alice@example.com,1234567890
1022,Bob,Finance,Analyst,55000.0,2011-10-31,3,bob@example.com,2345678901
1023,Charlie,IT,Developer,70000.0,2011-11-30,8,charlie@example.com,3456789012
1024,David,Marketing,Executive,50000.0,2011-12-31,2,david@example.com,4567890123
